date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:49	92690/92690	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Oct%202023%2010:57:46%20GMT	https://www.algorand.foundation/build-a-bull-hackathon?utm_source=Google&utm_medium=paidsearch&utm_campaign=Hackathon&utm_content=register&utm_term=allnonbrand&utm_source=google&utm_medium=cpc&utm_campaign=20568089981&utm_adgroup=153068630385&utm_term=upcoming%20hackathons&gclid=CjwKCAjwkNOpBhBEEiwAb3MvvW47dBI_Tt5FMHR01NXLoZNW2Da2LWAXHrNfU23oWZ3EL6drMF6eMxoCTAIQAvD_BwE	E:/New%20folder%20(2)/hakthon/www.algorand.foundation/build-a-bull-hackathonbb6c.html	(from )
16:27:49	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2022%20Oct%202023%2010:57:47%20GMT	https://www.algorand.foundation/robots.txt		(from )
16:27:50	802222/802222	---M-Z	200	added ('OK')	text/css	etag:%2261b17706b1d6fcda229593d80f021672%22	https://assets-global.website-files.com/62d96b0e9ea60fd1c96a1b50/css/algor.webflow.960d47c94.css	E:/New%20folder%20(2)/hakthon/assets-global.website-files.com/62d96b0e9ea60fd1c96a1b50/css/algor.webflow.960d47c94.css	(from https://www.algorand.foundation/build-a-bull-hackathon?utm_source=Google&utm_medium=paidsearch&utm_campaign=Hackathon&utm_content=register&utm_term=allnonbrand&utm_source=google&utm_medium=cpc&utm_campaign=20568089981&utm_adgroup=153068630385&utm_term=upcoming%20hackathons&gclid=CjwKCAjwkNOpBhBEEiwAb3MvvW47dBI_Tt5FMHR01NXLoZNW2Da2LWAXHrNfU23oWZ3EL6drMF6eMxoCTAIQAvD_BwE)
16:27:50	2256/2256	---M--	200	added ('OK')	image/png	etag:%222246b5b8e593710818acade506cc5a76%22	https://assets-global.website-files.com/62835f42aef969049eba0806/62d0550ecf756b5bde4a4e15_62ad7c27450de1398a077422_a-32.png	E:/New%20folder%20(2)/hakthon/assets-global.website-files.com/62835f42aef969049eba0806/62d0550ecf756b5bde4a4e15_62ad7c27450de1398a077422_a-32.png	(from https://www.algorand.foundation/build-a-bull-hackathon?utm_source=Google&utm_medium=paidsearch&utm_campaign=Hackathon&utm_content=register&utm_term=allnonbrand&utm_source=google&utm_medium=cpc&utm_campaign=20568089981&utm_adgroup=153068630385&utm_term=upcoming%20hackathons&gclid=CjwKCAjwkNOpBhBEEiwAb3MvvW47dBI_Tt5FMHR01NXLoZNW2Da2LWAXHrNfU23oWZ3EL6drMF6eMxoCTAIQAvD_BwE)
16:27:51	9887/9887	---M--	200	added ('OK')	image/png	etag:%22ec030bee3d6d789e9873a4ec08eb07aa%22	https://assets-global.website-files.com/62835f42aef969049eba0806/62ad7c2bbb3c55743c3d545b_a-256.png	E:/New%20folder%20(2)/hakthon/assets-global.website-files.com/62835f42aef969049eba0806/62ad7c2bbb3c55743c3d545b_a-256.png	(from https://www.algorand.foundation/build-a-bull-hackathon?utm_source=Google&utm_medium=paidsearch&utm_campaign=Hackathon&utm_content=register&utm_term=allnonbrand&utm_source=google&utm_medium=cpc&utm_campaign=20568089981&utm_adgroup=153068630385&utm_term=upcoming%20hackathons&gclid=CjwKCAjwkNOpBhBEEiwAb3MvvW47dBI_Tt5FMHR01NXLoZNW2Da2LWAXHrNfU23oWZ3EL6drMF6eMxoCTAIQAvD_BwE)
16:27:51	92690/92690	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Oct%202023%2010:57:49%20GMT	https://www.algorand.foundation/build-a-bull-hackathon	E:/New%20folder%20(2)/hakthon/www.algorand.foundation/build-a-bull-hackathon.html	(from https://www.algorand.foundation/build-a-bull-hackathon?utm_source=Google&utm_medium=paidsearch&utm_campaign=Hackathon&utm_content=register&utm_term=allnonbrand&utm_source=google&utm_medium=cpc&utm_campaign=20568089981&utm_adgroup=153068630385&utm_term=upcoming%20hackathons&gclid=CjwKCAjwkNOpBhBEEiwAb3MvvW47dBI_Tt5FMHR01NXLoZNW2Da2LWAXHrNfU23oWZ3EL6drMF6eMxoCTAIQAvD_BwE)
16:27:52	381309/381309	---MCZ	200	added ('OK')	application/javascript	etag:W/%22de8bfc9f822bf339c52926d0962b4331%22	https://static.memberstack.com/scripts/v1/memberstack.js	E:/New%20folder%20(2)/hakthon/static.memberstack.com/scripts/v1/memberstack.js	(from https://www.algorand.foundation/build-a-bull-hackathon?utm_source=Google&utm_medium=paidsearch&utm_campaign=Hackathon&utm_content=register&utm_term=allnonbrand&utm_source=google&utm_medium=cpc&utm_campaign=20568089981&utm_adgroup=153068630385&utm_term=upcoming%20hackathons&gclid=CjwKCAjwkNOpBhBEEiwAb3MvvW47dBI_Tt5FMHR01NXLoZNW2Da2LWAXHrNfU23oWZ3EL6drMF6eMxoCTAIQAvD_BwE)
16:27:52	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2022%20Oct%202023%2010:57:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/New%20folder%20(2)/hakthon/www.googletagmanager.com/gtm.65445.delayed	(from https://www.algorand.foundation/build-a-bull-hackathon?utm_source=Google&utm_medium=paidsearch&utm_campaign=Hackathon&utm_content=register&utm_term=allnonbrand&utm_source=google&utm_medium=cpc&utm_campaign=20568089981&utm_adgroup=153068630385&utm_term=upcoming%20hackathons&gclid=CjwKCAjwkNOpBhBEEiwAb3MvvW47dBI_Tt5FMHR01NXLoZNW2Da2LWAXHrNfU23oWZ3EL6drMF6eMxoCTAIQAvD_BwE)
16:27:54	28575/28575	---M-Z	200	added ('OK')	application/javascript	etag:W/%226f9f-vMUECYYYMOrZE8BzyJ23I0S46Rc%22	https://cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	E:/New%20folder%20(2)/hakthon/cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	(from https://www.algorand.foundation/build-a-bull-hackathon?utm_source=Google&utm_medium=paidsearch&utm_campaign=Hackathon&utm_content=register&utm_term=allnonbrand&utm_source=google&utm_medium=cpc&utm_campaign=20568089981&utm_adgroup=153068630385&utm_term=upcoming%20hackathons&gclid=CjwKCAjwkNOpBhBEEiwAb3MvvW47dBI_Tt5FMHR01NXLoZNW2Da2LWAXHrNfU23oWZ3EL6drMF6eMxoCTAIQAvD_BwE)
16:27:54	1533/1533	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2022%20Oct%202023%2010:57:52%20GMT	http://js-eu1.hs-scripts.com/26119259.js	E:/New%20folder%20(2)/hakthon/js-eu1.hs-scripts.com/26119259.js	(from https://www.algorand.foundation/build-a-bull-hackathon?utm_source=Google&utm_medium=paidsearch&utm_campaign=Hackathon&utm_content=register&utm_term=allnonbrand&utm_source=google&utm_medium=cpc&utm_campaign=20568089981&utm_adgroup=153068630385&utm_term=upcoming%20hackathons&gclid=CjwKCAjwkNOpBhBEEiwAb3MvvW47dBI_Tt5FMHR01NXLoZNW2Da2LWAXHrNfU23oWZ3EL6drMF6eMxoCTAIQAvD_BwE)
